 num     #vertices    #edges  fsTime                    fsValue  dwTime                    dwValue    hybridTime    hybridValue
 0            5         5  0.027756         30  0.086747       30       0.141342              30
 1           15        53  0.0353        219    0.094311      219       0.150563             219
 2           25       151  0.0516        542    0.099266      542       0.124099             542
 3           35       288  0.061747        955  0.105825      952.6     0.0780184            955
 4           45       502  0.061883       1607  0.124067     1592       0.150651            1607
 5           55       761  0.067861       2350  0.125389     2306.2     0.190498            2350
 6           65      1059  0.054874       3251  0.133627     3170.4     0.201913            3251
 7           75      1411  0.056392       4287  0.127566     4140.8     0.215885            4287
 8           85      1775  0.063511       5333  0.133448     4826.2     0.2278              5333
 9           95      2217  0.066889       6618  0.179089     5730.6     0.236016            6618
10          105      2694  0.055434       7973  0.188527     7031.6     0.249914            7973
11          115      3254  0.060442       9537  0.195430     8028.6     0.229376            9537
12          125      3846  0.064524      11273  0.197465     9641.6     0.266176           11273
13          135      4536  0.052961      13179  0.200045    11587.6     0.251168           13179
14          145      5257  0.064133      15278  0.209850    13024.6     0.201486           15278
15          155      5982  0.068542      17386  0.216829    15384       0.214419           17386
16          165      6770  0.060909      19625  0.220906    17266       0.240793           19625
17          175      7639  0.063606      22010  0.224652    19518.6     0.188936           22010
